system   D            wsystem.c:583  maybe_parent_dir                 [   0.00056] Also searching C:\Users\Max Giller\Documents\Visual Studio 2013\Projects\GameLogicTest\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00106] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00109] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01278] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.08830] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.08835] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.09167] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.09170] al_display=0031AE20
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.09172] al_display->vt=0032CE10
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.09607] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.09610] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09612] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09613] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09615] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09616] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09618] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09619] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09621] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09622] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09623] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09626] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09628] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09629] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09631] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09632] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09634] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09635] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09636] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09638] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09639] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09641] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09642] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09646] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09648] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09650] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09651] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09653] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09654] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09656] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09659] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09660] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09662] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09663] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09664] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09666] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09667] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09669] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09670] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09672] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09673] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09676] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09677] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09679] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09680] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09682] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09683] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09685] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09686] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09688] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09689] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09691] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09692] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09694] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09695] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09697] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09698] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09700] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09701] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09702] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09704] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09705] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09707] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09708] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09710] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09711] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09712] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09714] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09715] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09717] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09718] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09720] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09721] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09723] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09724] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09726] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09727] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09729] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09730] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09731] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09733] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09734] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09736] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09737] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09738] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09740] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09741] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09743] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09744] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09746] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09747] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09749] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09750] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09752] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09753] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09755] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09756] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09758] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09759] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09761] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09762] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09763] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09765] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09766] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09768] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
